field_id,title,availability,stability,private,value_type,base_type,item_type,strata,instanced,arrayed,sexed,units,main_category,encoding_id,instance_id,instance_min,instance_max,array_min,array_max,notes,debut,version,num_participants,item_count,showcase_order,cost_do,cost_on,cost_sc
54,UK Biobank assessment centre,0,0,0,21,11,0,0,1,0,0,,100024,10,2,0,3,0,0,The UK Biobank assessment centre at which participant consented.<p>Automatically acquired at participant consent,2012-01-05T00:00:00,2023-03-07T00:00:00,502371,593537,100,1,1,1
55,Month of attending assessment centre,0,0,0,21,11,0,0,1,0,0,,100024,8,2,0,3,0,0,Calendar month that participant attended a UK Biobank assessment centre.<p>Automatically acquired at Reception stage.,2012-01-05T00:00:00,2023-03-09T00:00:00,502371,593606,120,1,1,1
62,Willing to attempt cognitive tests,0,0,0,21,11,0,0,1,0,0,,100004,100641,2,0,2,0,0,"ACE touchscreen question ""Now we would like to check your memory and reaction times by getting you to play some short games""",2012-01-05T00:00:00,2016-11-03T00:00:00,498240,529664,0,1,1,1
68,Number of blood samples taken,0,0,0,11,0,0,0,1,0,0,,100002,0,2,0,3,0,0,"Blood, count of sample barcodes recorded<p>Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred.",2012-01-05T00:00:00,2023-03-08T00:00:00,501201,591369,2,1,1,1
74,Fasting time,0,0,0,11,0,0,0,1,0,0,hours,100002,0,2,0,3,0,0,Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date.,2012-01-05T00:00:00,2023-03-08T00:00:00,501186,591345,4,1,1,1
77,"Heel bone ultrasound T-score, manual entry",0,0,0,31,0,0,0,1,0,0,Std.Devs,100018,0,2,0,0,0,0,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,2012-01-05T00:00:00,2012-01-06T00:00:00,42721,42721,14,1,1,1
78,"Heel bone mineral density (BMD) T-score, automated",0,0,0,31,0,0,0,1,0,0,Std.Devs,100018,0,2,0,0,0,0,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,2012-01-05T00:00:00,2012-01-06T00:00:00,279022,279022,9,1,1,1
84,Cancer year/age first occurred,0,0,0,11,0,0,0,1,1,0,,100074,37,2,0,3,0,5,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",2012-01-05T00:00:00,2023-03-07T00:00:00,47225,56024,0,1,1,1
87,Non-cancer illness year/age first occurred,0,0,0,11,0,0,0,1,1,0,,100074,37,2,0,3,0,33,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",2012-01-05T00:00:00,2023-03-08T00:00:00,390407,1212254,0,1,1,1
92,Operation year/age first occurred,0,0,0,11,0,0,0,1,1,0,,100076,37,2,0,3,0,31,"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",2012-01-05T00:00:00,2023-03-08T00:00:00,401230,1030893,0,1,1,1
93,"Systolic blood pressure, manual reading",0,0,0,11,0,0,0,1,1,0,mmHg,100011,0,2,0,3,0,1,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",2012-01-05T00:00:00,2023-03-07T00:00:00,50973,85440,0,1,1,1
94,"Diastolic blood pressure, manual reading",0,0,0,11,0,0,0,1,1,0,mmHg,100011,0,2,0,3,0,1,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",2012-01-05T00:00:00,2023-03-07T00:00:00,50973,85440,0,1,1,1
95,Pulse rate (during blood-pressure measurement),0,0,0,11,0,0,0,1,1,0,,100011,0,2,0,3,0,1,Pulse measured during automated blood-pressure reading,2012-01-05T00:00:00,2023-03-07T00:00:00,50973,85440,0,1,1,1
96,Time since interview start at which blood pressure screen(s) shown,0,0,0,11,0,0,2,1,1,0,seconds,100011,0,2,0,3,0,1,"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments.",2012-01-05T00:00:00,2023-03-08T00:00:00,501528,1169309,0,1,1,1
102,"Pulse rate, automated reading",0,0,0,11,0,0,0,1,1,0,bpm,100011,0,2,0,3,0,1,This is the pulse rate measured during the automated blood pressure readings.,2012-01-05T00:00:00,2023-03-08T00:00:00,475730,1082373,0,1,1,1
111,Aide-memoire completed,0,0,0,21,11,0,0,1,0,0,,100004,7,2,0,1,0,0,Participants were asked to complete an aide-memoire at home (prior to the visiting and assessment centre) to help them complete the more complex/detailed interview questions. This field records whether or not the participant brought a completed aide-memoire to the interview.,2012-01-05T00:00:00,2022-03-09T00:00:00,501512,521841,0,1,1,1
115,Father's month of birth,0,0,1,21,11,0,0,1,0,0,,100072,100279,2,0,0,0,0,Father's month of birth,2012-01-05T00:00:00,2022-03-09T00:00:00,323089,323089,160,1,1,1
117,Mother's month of birth,0,0,1,21,11,0,0,1,0,0,,100072,100279,2,0,0,0,0,Mother's month of birth,2012-01-05T00:00:00,2022-03-09T00:00:00,323089,323089,180,1,1,1
118,Mother's day of birth,0,0,1,11,0,0,0,1,0,0,day-of-month,100072,0,2,0,0,0,0,Mother's day of birth (this is the day-within-month),2012-01-05T00:00:00,2022-03-09T00:00:00,279542,279542,170,1,1,1
120,Birth weight known,0,0,0,21,11,0,0,1,0,0,,100072,100258,2,0,2,0,0,Birth weight known <br><br>This question was dropped from the touchscreen protocol on 24/10/2016.,2012-01-05T00:00:00,2022-03-09T00:00:00,501512,533545,110,1,1,1
129,Place of birth in UK - north co-ordinate,0,0,0,11,0,0,0,1,0,0,metre-grid,100072,170,2,0,2,0,0,Place born - north co-ordinate <br><br>This question was dropped from the touchscreen protocol on 24/10/2016.,2012-01-05T00:00:00,2022-03-09T00:00:00,452178,480984,140,1,1,1
130,Place of birth in UK - east co-ordinate,0,0,0,11,0,0,0,1,0,0,metre-grid,100072,170,2,0,2,0,0,Place born - east co-ordinate <br><br>This question was dropped from the touchscreen protocol on 24/10/2016.,2012-01-05T00:00:00,2022-03-09T00:00:00,452178,480984,130,1,1,1
132,Job code at visit - entered,0,0,1,21,11,0,0,1,0,0,,100073,2,2,0,3,0,0,This information is regarded as restricted and will be supplied to researchers only when absolutely necessary. <br> <br>Please use data field 20277 which is the unrestricted version of this data field. <br> <br>See also the Related Data-Fields tab below for other unrestricted alternatives.,2012-01-05T00:00:00,2023-03-08T00:00:00,346300,409866,0,1,1,1
134,Number of self-reported cancers,0,0,0,11,0,0,0,1,0,0,,100074,0,2,0,3,0,0,Number of cancers entered,2012-01-05T00:00:00,2023-03-08T00:00:00,501528,585037,0,1,1,1
135,Number of self-reported non-cancer illnesses,0,0,0,11,0,0,0,1,0,0,,100074,0,2,0,3,0,0,Number of non-cancer illnesses entered,2012-01-05T00:00:00,2023-03-08T00:00:00,501528,585037,0,1,1,1
136,"Number of operations, self-reported",0,0,0,11,0,0,0,1,0,0,,100076,0,2,0,3,0,0,Number of operations entered,2012-01-05T00:00:00,2023-03-08T00:00:00,501528,585037,0,1,1,1
137,Number of treatments/medications taken,0,0,0,11,0,0,0,1,0,0,,100075,0,2,0,3,0,0,Number of treatments (medications) entered,2012-01-05T00:00:00,2023-03-08T00:00:00,501528,585037,100,1,1,1
146,Father's day of birth,0,0,1,11,0,0,0,1,0,0,day-of-month,100072,0,2,0,0,0,0,Father's day of birth (this is the day-within-month),2012-01-05T00:00:00,2022-03-09T00:00:00,255871,255871,150,1,1,1
189,Townsend deprivation index at recruitment,4,0,0,31,0,0,3,0,0,0,,100094,0,0,0,0,0,0,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.,2012-01-05T00:00:00,2012-01-30T00:00:00,501745,501745,160,1,1,1
190,Reason lost to follow-up,0,3,0,21,11,0,0,0,0,0,,2,1965,0,0,0,0,0,Indicates the reason that a person is believed to be lost to follow-up. <p> If there are multiple reasons that a person is lost to follow-up then only the earliest of them is listed. <br> <br> Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.,2017-05-24T00:00:00,2017-05-24T00:00:00,1297,1297,100,1,1,1
191,Date lost to follow-up,0,3,0,51,0,0,0,0,0,0,,2,0,0,0,0,0,0,Indicates the date from which a person is believed to be lost to follow-up. <p> If there are multiple reasons that a person is lost to follow-up then only the date of the earliest of them is listed. <br> <br> Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.,2017-05-24T00:00:00,2017-05-24T00:00:00,1297,1297,110,1,1,1
200,Date of consenting to join UK Biobank,0,0,0,51,0,0,0,0,0,0,,100023,0,0,0,0,0,0,Date that participant consented at UK Biobank assessment centre.<p>Automatically acquired at participant consent.,2012-01-05T00:00:00,2022-03-10T00:00:00,502369,502369,0,1,1,1
393,Program (tactus) version ID (compiler timestamp),0,0,0,21,41,0,2,0,0,0,,100023,1200,0,0,0,0,0,This field identifies the version of the touchscreen system in use at the assessment centre when a participant visit took place. The timestamp is not present in data from the initial pilot clinic.,2012-01-05T00:00:00,2012-01-06T00:00:00,502366,502366,0,1,1,1
396,Number of columns displayed in round,0,0,0,11,0,0,0,1,1,0,,100030,0,2,0,3,1,3,,2012-01-05T00:00:00,2023-03-08T00:00:00,498781,1212656,150,1,1,1
397,Number of rows displayed in round,0,0,0,11,0,0,0,1,1,0,,100030,0,2,0,3,1,2,,2012-01-05T00:00:00,2023-03-08T00:00:00,498781,1169010,170,1,1,1
398,Number of correct matches in round,0,0,0,11,0,0,0,1,1,0,,100030,0,2,0,3,1,3,"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.",2012-01-05T00:00:00,2023-03-08T00:00:00,498781,1212656,190,1,1,1
399,Number of incorrect matches in round,0,0,0,11,0,0,0,1,1,0,,100030,0,2,0,3,1,3,A value of 0 indicates the participant made no mistakes.,2012-01-05T00:00:00,2023-03-08T00:00:00,498781,1212656,100,1,1,1
400,Time to complete round,0,0,0,11,0,0,0,1,1,0,deciseconds,100030,402,2,0,3,1,3,,2012-01-05T00:00:00,2023-03-08T00:00:00,498781,1212656,120,1,1,1
401,Index for card A in round,0,0,0,21,11,0,0,1,1,0,,100032,92,2,0,3,0,11,,2012-01-05T00:00:00,2023-03-08T00:00:00,496650,6987336,1,1,1,1
402,Index for card B in round,0,0,0,21,11,0,0,1,1,0,,100032,92,2,0,3,0,11,,2012-01-05T00:00:00,2023-03-08T00:00:00,496650,6987336,3,1,1,1
403,Number of times snap-button pressed,0,0,0,11,0,0,0,1,1,0,,100032,0,2,0,3,0,11,This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round.,2012-01-05T00:00:00,2023-03-08T00:00:00,496650,6987336,5,1,1,1
404,Duration to first press of snap-button in each round,0,0,0,11,0,0,0,1,1,0,milliseconds,100032,0,2,0,3,0,11,"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same. <p>Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms.",2012-01-05T00:00:00,2023-03-08T00:00:00,494311,3508674,7,1,1,1
630,Touchscreen duration,0,0,0,11,0,0,2,1,0,0,deciseconds,152,0,2,0,3,0,0,,2012-01-05T00:00:00,2023-03-08T00:00:00,501538,592134,0,1,1,1
670,Type of accommodation lived in,0,0,0,21,11,0,0,1,0,0,,100066,100286,2,0,3,0,0,"ACE touchscreen question ""What type of accommodation do you live in?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please select:<br><br>A house or bungalow for any whole, detached, semi-detached<br>or terraced (including end-terrace) house or bungalow.<br><br>A flat, maisonette, or apartment for any purpose-built<br>block of flats or tenement, part of a converted or shared<br>house (including bed-sits) or within a commercial building<br>(for example in an office building, or hotel, or over a shop).<br><br>If none of the options apply, select None of the above.<br></i></td></tr></table>",2012-01-05T00:00:00,2023-03-08T00:00:00,501528,592124,1,1,1,1
680,Own or rent accommodation lived in,0,0,0,21,11,0,0,1,0,0,,100066,100287,2,0,3,0,0,"ACE touchscreen question ""Do you own or rent the accommodation that you live in?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please select:<br> - Own outright if you or someone in your household<br>owns the accommodation that you live in.<br> - Own with mortagage if you or someone in your<br>household has a mortagage on the accommodation<br>that you live in.<br></i></td></tr></table><p>~F680~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~",2012-01-05T00:00:00,2023-03-08T00:00:00,500150,590613,2,1,1,1
699,Length of time at current address,0,0,0,11,0,0,0,1,0,0,years,100066,100290,2,0,3,0,0,"ACE touchscreen question ""How many years have you lived at your current address?""<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > Participants age then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have lived there for less than one year select Less than a year.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you have lived at your current address at different times, add up<br>the total number of years you lived there. For instance if you lived<br>at your current address for 3 years, moved overseas for one year and<br>returned to your current address for another 5 years, then you would<br>enter 8 years.<br></i></td></tr></table>",2012-01-05T00:00:00,2023-03-08T00:00:00,501524,592120,6,1,1,1
709,Number in household,0,0,0,11,0,0,0,1,0,0,people,100066,100291,2,0,3,0,0,"ACE touchscreen question ""Including yourself, how many people are living together in your household? (Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots)""<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > 100 then rejected</li><li>If answer > 12 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you live alone, enter 1.<br>Include those who usually live in the house such as students living away<br>from home during term, partners in the armed forces or professions such as<br>pilots.<br></i></td></tr></table><p>~F709~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~",2012-01-05T00:00:00,2023-03-08T00:00:00,500148,590611,7,1,1,1
728,Number of vehicles in household,0,0,0,21,11,0,0,1,0,0,,100066,100293,2,0,3,0,0,"ACE touchscreen question ""How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use) ""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Do not include motorcycles.<br></i></td></tr></table><p>~F728~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~",2012-01-05T00:00:00,2023-03-08T00:00:00,500148,590611,9,1,1,1
738,Average total household income before tax,0,0,0,21,11,0,0,1,0,0,,100066,100294,2,0,3,0,0,"ACE touchscreen question ""What is the average total income before tax received by your HOUSEHOLD?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure of annual household income here are<br>the weekly and monthly equivalents:<br><br>Annual    Monthly   Weekly<br><br>less than &pound;18,000  less than &pound;1,500  less than &pound;346<br>&pound;18,000 to &pound;29,999  &pound;1,500 to &pound;2,499  &pound;346 to &pound;576<br>&pound;30,000 to &pound;51,999  &pound;2,500 to &pound;4,333  &pound;577 to &pound;999<br>&pound;52,000 to &pound;100,000  &pound;4,334 to &pound;8,333  &pound;1000 to &pound;1,923<br>greater than &pound;100,000  greater than &pound;8,333  greater than &pound;1,923 <br></i></td></tr></table><p>~F738~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~",2012-01-05T00:00:00,2023-03-08T00:00:00,497442,586858,10,1,1,1
757,Time employed in main current job,0,0,0,11,0,0,0,1,0,0,years,100064,100290,2,0,3,0,0,"ACE touchscreen question ""How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)""<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > Participants age - 10 years then rejected</li><li>If answer > Participants age - 16 years then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question for your<br>MAIN job only (ie: the job that you spend most of your time doing).<br>If you have been with the same employer, but have changed jobs whilst you<br>have worked for them, then only give the number of years that you have been<br>in your current job (not the number of years that you have been employed by<br>the same company). For instance, if you have worked as mail-room sorter but<br>then been promoted to manager of the mail-room, please give the number of years<br>you have worked as the mail-room manager only.<br>If you have changed employers, but have had the same job, please give the total<br>number of years that you have worked in that job.  For instance, if you have<br>worked as a cleaner for 3 different companies, please give the total number of<br>years working as a cleaner.<br></i></td></tr></table><p>~F757~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",2012-01-05T00:00:00,2023-03-07T00:00:00,288617,321007,2,1,1,1
767,Length of working week for main job,0,0,0,11,0,0,0,1,0,0,hours,100064,100291,2,0,3,0,0,"ACE touchscreen question ""In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)""<p>The following checks were performed:<ul><li>If answer > 160 then rejected</li><li>If answer < 1 then participant asked to confirm</li><li>If answer > 74 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question<br>for your MAIN job only.<br></i></td></tr></table><p>~F767~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",2012-01-05T00:00:00,2023-03-07T00:00:00,288618,321009,3,1,1,1
777,Frequency of travelling from home to job workplace,0,0,0,11,0,0,0,1,0,0,times,100064,100298,2,0,3,0,0,"ACE touchscreen question ""How many times a WEEK do you travel from home to your main work? (count outward journeys only; put 0 if you always work from home)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 999 then rejected</li><li>If answer > 99 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the number of times varies each week, take an average over the last 4 weeks.<br>If you only work from home please enter 0<br><br></i></td></tr></table><p>~F777~ was collected from the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",2012-01-05T00:00:00,2023-03-07T00:00:00,286693,318673,4,1,1,1
796,Distance between home and job workplace,0,0,0,11,0,0,0,1,0,0,miles,100064,100300,2,0,3,0,0,"ACE touchscreen question ""About how many miles is it between your home and your work? ""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 9999 then rejected</li><li>If answer > 70 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question for your<br>MAIN job only.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you only work from home please enter 0<br></i></td></tr></table><p>~F796~ was collected from participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~ and except those who indicated they always work from home, as defined by their answers to ~F6142~",2012-01-05T00:00:00,2023-03-07T00:00:00,267997,295512,0,1,1,1
806,Job involves mainly walking or standing,0,0,0,21,11,0,0,1,0,0,,100064,100301,2,0,3,0,0,"ACE touchscreen question ""Does your work involve walking or standing for most of the time?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer<br>this question your MAIN job only.<br></i></td></tr></table><p>~F806~ was collected from the participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~",2012-01-05T00:00:00,2023-03-07T00:00:00,288618,321009,7,1,1,1
